Galapagos Species Record
------------------------
Created on: Tuesday, 08 June 2021  (19:31:33)


Generation 1
{
  Bio-Diversity: 0.989
  Genome[87], Fitness=69.71, Genes [12% · 41% · 69% · 22%]
  Genome[88], Fitness=69.73, Genes [23% · 65% · 6% · 58%]
  Genome[89], Fitness=69.97, Genes [60% · 24% · 21% · 67%]
  Genome[90], Fitness=70.01, Genes [69% · 59% · 5% · 53%]
  Genome[91], Fitness=70.07, Genes [4% · 9% · 58% · 59%]
  Genome[92], Fitness=70.14, Genes [75% · 12% · 53% · 44%]
  Genome[93], Fitness=70.14, Genes [23% · 66% · 49% · 25%]
  Genome[94], Fitness=70.26, Genes [68% · 33% · 61% · 25%]
  Genome[95], Fitness=70.30, Genes [23% · 31% · 52% · 49%]
  Genome[96], Fitness=70.35, Genes [62% · 33% · 48% · 41%]
  Genome[97], Fitness=70.43, Genes [34% · 36% · 48% · 47%]
  Genome[98], Fitness=70.45, Genes [2% · 92% · 16% · 44%]
  Genome[99], Fitness=70.80, Genes [34% · 93% · 46% · 11%]
  Genome[100], Fitness=70.81, Genes [32% · 55% · 32% · 54%]
  Genome[101], Fitness=70.88, Genes [12% · 9% · 53% · 68%]
  Genome[102], Fitness=70.89, Genes [72% · 8% · 36% · 68%]
  Genome[103], Fitness=70.90, Genes [26% · 24% · 44% · 64%]
  Genome[104], Fitness=70.99, Genes [81% · 27% · 2% · 80%]
  Genome[105], Fitness=71.01, Genes [58% · 22% · 72% · 31%]
  Genome[106], Fitness=71.15, Genes [60% · 86% · 33% · 24%]
  Genome[107], Fitness=71.31, Genes [51% · 16% · 80% · 29%]
  Genome[108], Fitness=71.35, Genes [14% · 66% · 81% · 2%]
  Genome[109], Fitness=71.39, Genes [28% · 28% · 24% · 82%]
  Genome[110], Fitness=71.51, Genes [98% · 22% · 41% · 54%]
  Genome[111], Fitness=71.60, Genes [6% · 8% · 56% · 73%]
  Genome[112], Fitness=71.62, Genes [20% · 12% · 47% · 76%]
  Genome[113], Fitness=71.64, Genes [40% · 38% · 71% · 31%]
  Genome[114], Fitness=71.65, Genes [16% · 64% · 7% · 77%]
  Genome[115], Fitness=71.68, Genes [89% · 54% · 42% · 35%]
  Genome[116], Fitness=71.68, Genes [42% · 59% · 23% · 62%]
  Genome[117], Fitness=71.74, Genes [40% · 43% · 40% · 59%]
  Genome[118], Fitness=71.76, Genes [4% · 17% · 56% · 69%]
  Genome[119], Fitness=71.85, Genes [12% · 88% · 3% · 65%]
  Genome[120], Fitness=71.88, Genes [36% · 12% · 95% · 23%]
  Genome[121], Fitness=71.88, Genes [65% · 7% · 37% · 78%]
